window,variant,method,regime,sharpe,ann_return,ann_vol,max_drawdown,n_days
504,V0prime,dynotears,all,0.3721,0.0497,0.1689,-0.5257,4515
504,V0prime,dynotears,nber_recession,-0.6223,-0.2659,0.38,-0.5253,420
504,V0prime,dynotears,nber_expansion,0.7262,0.0889,0.1288,-0.2138,4095
504,V0prime,dynotears,low_vol,5.6434,0.4222,0.0628,-0.0276,905
504,V0prime,dynotears,high_vol,-1.3902,-0.3806,0.3096,-0.8206,903
504,V1-DYNOTEARS,dynotears,all,0.3715,0.0495,0.1684,-0.5293,4515
504,V1-DYNOTEARS,dynotears,nber_recession,-0.6286,-0.2671,0.3792,-0.526,420
504,V1-DYNOTEARS,dynotears,nber_expansion,0.728,0.0889,0.1283,-0.2084,4095
504,V1-DYNOTEARS,dynotears,low_vol,5.6344,0.4204,0.0627,-0.0286,905
504,V1-DYNOTEARS,dynotears,high_vol,-1.3897,-0.3795,0.3086,-0.8195,903
504,V2-DYNOTEARS,dynotears,all,0.3715,0.0495,0.1684,-0.5293,4515
504,V2-DYNOTEARS,dynotears,nber_recession,-0.6286,-0.2671,0.3792,-0.526,420
504,V2-DYNOTEARS,dynotears,nber_expansion,0.728,0.0889,0.1283,-0.2084,4095
504,V2-DYNOTEARS,dynotears,low_vol,5.6344,0.4204,0.0627,-0.0286,905
504,V2-DYNOTEARS,dynotears,high_vol,-1.3897,-0.3795,0.3086,-0.8195,903
504,V1-VARLiNGAM,varlingam,all,0.3567,0.0468,0.168,-0.5299,4515
504,V1-VARLiNGAM,varlingam,nber_recession,-0.6488,-0.2707,0.3766,-0.5278,420
504,V1-VARLiNGAM,varlingam,nber_expansion,0.7087,0.0864,0.1286,-0.21,4095
504,V1-VARLiNGAM,varlingam,low_vol,5.5627,0.4155,0.0629,-0.0283,905
504,V1-VARLiNGAM,varlingam,high_vol,-1.3889,-0.378,0.3075,-0.8183,903
504,V2-VARLiNGAM,varlingam,all,0.3567,0.0468,0.168,-0.5299,4515
504,V2-VARLiNGAM,varlingam,nber_recession,-0.6488,-0.2707,0.3766,-0.5278,420
504,V2-VARLiNGAM,varlingam,nber_expansion,0.7087,0.0864,0.1286,-0.21,4095
504,V2-VARLiNGAM,varlingam,low_vol,5.5627,0.4155,0.0629,-0.0283,905
504,V2-VARLiNGAM,varlingam,high_vol,-1.3889,-0.378,0.3075,-0.8183,903
504,CORR-HRP,—,all,0.3633,0.0475,0.1658,-0.5298,4515
504,CORR-HRP,—,nber_recession,-0.6626,-0.2729,0.3745,-0.5307,420
504,CORR-HRP,—,nber_expansion,0.729,0.0875,0.126,-0.2027,4095
504,CORR-HRP,—,low_vol,5.5331,0.4109,0.0626,-0.028,905
504,CORR-HRP,—,high_vol,-1.3803,-0.3731,0.3043,-0.814,903
504,VARL-D0,varlingam,all,0.3775,0.0507,0.1689,-0.5252,4515
504,VARL-D0,varlingam,nber_recession,-0.6324,-0.269,0.3804,-0.528,420
504,VARL-D0,varlingam,nber_expansion,0.7375,0.0905,0.1288,-0.212,4095
504,VARL-D0,varlingam,low_vol,5.6593,0.4227,0.0627,-0.028,905
504,VARL-D0,varlingam,high_vol,-1.3855,-0.3799,0.3098,-0.8199,903
504,DYNO-D0s,dynotears,all,0.3827,0.0513,0.1678,-0.525,4515
504,DYNO-D0s,dynotears,nber_recession,-0.6342,-0.2668,0.3767,-0.5268,420
504,DYNO-D0s,dynotears,nber_expansion,0.7432,0.0909,0.1282,-0.2045,4095
504,DYNO-D0s,dynotears,low_vol,5.6526,0.423,0.0628,-0.0287,905
504,DYNO-D0s,dynotears,high_vol,-1.377,-0.3756,0.3073,-0.8161,903
504,DYNO-D1,dynotears,all,0.3951,0.0541,0.1701,-0.518,4515
504,DYNO-D1,dynotears,nber_recession,-0.6174,-0.2641,0.3794,-0.5261,420
504,DYNO-D1,dynotears,nber_expansion,0.7503,0.0937,0.1308,-0.2127,4095
504,DYNO-D1,dynotears,low_vol,5.7585,0.4352,0.0631,-0.0276,905
504,DYNO-D1,dynotears,high_vol,-1.3945,-0.3825,0.3106,-0.8225,903
504,DYNO-D2,dynotears,all,0.3816,0.0512,0.168,-0.5273,4515
504,DYNO-D2,dynotears,nber_recession,-0.6151,-0.2619,0.3773,-0.5187,420
504,DYNO-D2,dynotears,nber_expansion,0.7362,0.09,0.1283,-0.2121,4095
504,DYNO-D2,dynotears,low_vol,5.669,0.424,0.0627,-0.027,905
504,DYNO-D2,dynotears,high_vol,-1.382,-0.3767,0.3074,-0.8166,903
504,DYNO-D2s,dynotears,all,0.3992,0.0546,0.1691,-0.5224,4515
504,DYNO-D2s,dynotears,nber_recession,-0.6165,-0.261,0.3754,-0.5202,420
