end_date,n_assets,n_edges,density,is_dag,dag_depth,n_roots,n_leaves,rebalance,method,window
2020-09-08,99,567,0.05844155844155844,True,46,2,6,2020-09-08,dynotears,189
2020-10-07,99,663,0.06833642547928262,True,58,1,6,2020-10-07,dynotears,189
2020-11-05,99,582,0.05998763141620284,True,63,2,2,2020-11-05,dynotears,189
2020-12-07,99,618,0.06369820655534941,True,48,2,4,2020-12-07,dynotears,189
2021-01-07,99,609,0.06277056277056277,True,42,2,7,2021-01-07,dynotears,189
2021-02-08,99,679,0.06998556998556998,True,59,1,4,2021-02-08,dynotears,189
2021-03-10,99,575,0.05926613069470212,True,47,1,1,2021-03-10,dynotears,189
2021-04-09,99,681,0.07019171304885591,True,59,1,7,2021-04-09,dynotears,189
2021-05-10,99,621,0.0640074211502783,True,48,1,7,2021-05-10,dynotears,189
2021-06-09,99,690,0.07111935683364255,True,52,1,5,2021-06-09,dynotears,189
2021-07-09,99,664,0.06843949701092558,True,52,1,4,2021-07-09,dynotears,189
2021-08-09,99,641,0.0660688517831375,True,53,1,5,2021-08-09,dynotears,189
2021-09-08,99,713,0.07349000206143064,True,56,1,4,2021-09-08,dynotears,189
2021-10-07,99,708,0.07297464440321583,True,47,2,4,2021-10-07,dynotears,189
2021-11-05,99,599,0.06173984745413317,True,60,1,3,2021-11-05,dynotears,189
2021-12-07,99,602,0.06204906204906205,True,57,1,5,2021-12-07,dynotears,189
2022-01-06,99,684,0.07050092764378478,True,55,1,4,2022-01-06,dynotears,189
2022-02-07,99,635,0.06545042259327974,True,50,2,4,2022-02-07,dynotears,189
2022-03-09,99,665,0.06854256854256854,True,45,2,5,2022-03-09,dynotears,189
2022-04-07,99,637,0.06565656565656566,True,55,3,6,2022-04-07,dynotears,189
2022-05-09,99,648,0.06679035250463822,True,50,1,3,2022-05-09,dynotears,189
2022-06-08,99,683,0.07039785611214183,True,53,1,5,2022-06-08,dynotears,189
2022-07-11,99,624,0.06431663574520717,True,51,2,5,2022-07-11,dynotears,189
2022-08-09,99,617,0.06359513502370645,True,62,1,4,2022-08-09,dynotears,189
2022-09-08,99,599,0.06173984745413317,True,58,2,3,2022-09-08,dynotears,189
2022-10-07,99,597,0.061533704390847245,True,52,2,6,2022-10-07,dynotears,189
2022-11-07,99,585,0.06029684601113173,True,51,2,6,2022-11-07,dynotears,189
2022-12-07,99,585,0.06029684601113173,True,50,2,5,2022-12-07,dynotears,189
2023-01-09,99,539,0.05555555555555555,True,42,2,5,2023-01-09,dynotears,189
2023-02-08,99,506,0.05215419501133787,True,51,1,5,2023-02-08,dynotears,189
2023-03-10,99,562,0.05792620078334364,True,59,1,3,2023-03-10,dynotears,189
2023-04-11,99,617,0.06359513502370645,True,48,1,5,2023-04-11,dynotears,189
2023-05-10,99,623,0.06421356421356421,True,49,2,4,2023-05-10,dynotears,189
2023-06-09,99,669,0.06895485466914038,True,54,2,2,2023-06-09,dynotears,189
2023-07-12,99,640,0.06596578025149454,True,48,2,3,2023-07-12,dynotears,189
2023-08-10,99,675,0.06957328385899815,True,59,2,3,2023-08-10,dynotears,189
2023-09-11,99,684,0.07050092764378478,True,47,1,3,2023-09-11,dynotears,189
2023-10-10,99,630,0.06493506493506493,True,52,1,4,2023-10-10,dynotears,189
2023-11-08,99,633,0.06524427952999381,True,55,2,3,2023-11-08,dynotears,189
2023-12-08,99,563,0.0580292723149866,True,41,2,6,2023-12-08,dynotears,189
2024-01-10,99,591,0.06091527520098949,True,59,2,3,2024-01-10,dynotears,189
2024-02-09,99,670,0.06905792620078334,True,55,3,3,2024-02-09,dynotears,189
2024-03-12,99,623,0.06421356421356421,True,49,1,6,2024-03-12,dynotears,189
2024-04-11,99,643,0.06627499484642342,True,42,1,1,2024-04-11,dynotears,189
2024-05-10,99,721,0.07431457431457432,True,52,2,3,2024-05-10,dynotears,189
2024-06-11,99,655,0.06751185322613894,True,43,2,6,2024-06-11,dynotears,189
2024-07-12,99,669,0.06895485466914038,True,50,3,4,2024-07-12,dynotears,189
2024-08-12,99,741,0.07637600494743352,True,55,1,4,2024-08-12,dynotears,189
2024-09-11,99,687,0.07081014223871367,True,43,1,7,2024-09-11,dynotears,189
2024-10-10,99,704,0.07256235827664399,True,64,2,5,2024-10-10,dynotears,189
2024-11-08,99,675,0.06957328385899815,True,61,1,3,2024-11-08,dynotears,189
2007-01-03,99,577,0.059472273757988046,True,37,8,14,2007-01-03,dynotears,252
2007-02-02,99,616,0.06349206349206349,True,44,6,10,2007-02-02,dynotears,252
2007-03-06,99,652,0.06720263863121007,True,51,8,10,2007-03-06,dynotears,252
2007-04-04,99,590,0.060812203669346525,True,40,9,7,2007-04-04,dynotears,252
2007-05-04,99,634,0.06534735106163678,True,47,7,14,2007-05-04,dynotears,252
2007-06-05,99,576,0.059369202226345084,True,44,8,9,2007-06-05,dynotears,252
2007-07-05,99,665,0.06854256854256854,True,48,6,9,2007-07-05,dynotears,252
2007-08-03,99,659,0.06792413935271079,True,36,7,13,2007-08-03,dynotears,252
2007-09-04,99,633,0.06524427952999381,True,46,8,12,2007-09-04,dynotears,252
2007-10-03,99,640,0.06596578025149454,True,46,8,14,2007-10-03,dynotears,252
2007-11-01,99,562,0.05792620078334364,True,34,9,10,2007-11-01,dynotears,252
2007-12-03,99,605,0.06235827664399093,True,41,9,8,2007-12-03,dynotears,252
2008-01-03,99,614,0.06328592042877758,True,44,8,12,2008-01-03,dynotears,252
2008-02-04,99,595,0.06132756132756133,True,46,7,9,2008-02-04,dynotears,252
2008-03-05,99,615,0.06338899196042053,True,37,8,11,2008-03-05,dynotears,252
2008-04-04,99,642,0.06617192331478046,True,45,5,9,2008-04-04,dynotears,252
2008-05-05,99,587,0.060502989074417646,True,39,7,9,2008-05-05,dynotears,252
2008-06-04,99,648,0.06679035250463822,True,49,7,13,2008-06-04,dynotears,252
2008-07-03,99,622,0.06411049268192125,True,54,7,9,2008-07-03,dynotears,252
2008-08-04,99,564,0.05813234384662956,True,40,6,9,2008-08-04,dynotears,252
2008-09-03,99,643,0.06627499484642342,True,48,5,10,2008-09-03,dynotears,252
2008-10-02,99,591,0.06091527520098949,True,45,7,8,2008-10-02,dynotears,252
2008-10-31,99,613,0.06318284889713462,True,46,7,10,2008-10-31,dynotears,252
2008-12-02,99,594,0.061224489795918366,True,41,7,11,2008-12-02,dynotears,252
2009-01-02,99,584,0.06019377447948877,True,58,5,8,2009-01-02,dynotears,252
2009-02-03,99,554,0.05710162853019996,True,33,5,11,2009-02-03,dynotears,252
2009-03-05,99,588,0.06060606060606061,True,50,5,9,2009-03-05,dynotears,252
2009-04-03,99,557,0.05741084312512884,True,42,8,8,2009-04-03,dynotears,252
2009-05-05,99,558,0.0575139146567718,True,45,5,8,2009-05-05,dynotears,252
2009-06-04,99,522,0.05380333951762523,True,37,5,9,2009-06-04,dynotears,252
