contrast,method,window,delta_sharpe,ci_lower,ci_upper,p_value
D2-D0,dynotears,378,0.0021077112418008137,-0.020813891638055707,0.02266052340966881,0.865
D2s-D0,dynotears,378,0.016929920359239126,-0.015030534215333492,0.04594729457742595,0.271
D3-D0,dynotears,378,-0.0021865642908405203,-0.058003123085124675,0.04861314335015875,0.914
D4-D0,dynotears,378,0.0032679386704448365,-0.017885735191761083,0.02368458564058858,0.773
D0-CORR,dynotears,378,0.017800740009190186,-0.010966131489857018,0.04837441040159371,0.23
D1-CORR,dynotears,378,0.03017882930396759,-0.010338006993719343,0.07220912393881425,0.163
D2s-CORR,dynotears,378,0.03473066036842931,-0.005841493844780173,0.07502353081797343,0.099
D0s-D0,dynotears,504,0.010572904116620319,-0.009528175164226408,0.032037884227772845,0.297
D1-D0,dynotears,504,0.023010140196682516,0.0001679425879939607,0.04741272744794543,0.049
D2-D0,dynotears,504,0.009486236632782863,-0.010080627873648784,0.029154996971320776,0.314
D2s-D0,dynotears,504,0.027044500572992236,-0.0013958928209535741,0.05514057750609706,0.067
D3-D0,dynotears,504,0.014441521400201496,-0.03444068891880312,0.06189588473849716,0.562
D4-D0,dynotears,504,0.014844992357000708,-0.008650801163518606,0.0401350341312746,0.224
D0-V0,dynotears,504,0.001678930477455265,-0.017392024787809286,0.021643715780787776,0.84
D0-CORR,dynotears,504,0.008767126214288101,-0.019192666555610107,0.034511109921994076,0.551
D1-CORR,dynotears,504,0.03177726641097062,-0.007330819173845078,0.07059195240707986,0.123
D2s-CORR,dynotears,504,0.03581162678728034,-0.005177331822634508,0.07540785204331427,0.084
best(D2s)-V1,dynotears,504,0.02769026518354728,-0.0016171642462628475,0.06027883439157411,0.066
D0s-D0,varlingam,189,-0.005441428718499175,-0.02504215205875747,0.015266883023140216,0.604
D1-D0,varlingam,189,-0.029521511278999324,-0.07655469053036379,0.01858576963846124,0.207
D2-D0,varlingam,189,-0.006524505665748859,-0.026644596291092722,0.01415800680893328,0.573
D2s-D0,varlingam,189,0.0006017695842213677,-0.03958720223663797,0.042904405282929915,0.941
D3-D0,varlingam,189,0.006196317230963477,-0.050405588083793425,0.06231577098022953,0.843
D4-D0,varlingam,189,-0.001894372670174671,-0.02568674851881638,0.021543918407308012,0.855
D0-CORR,varlingam,189,0.004062409315084947,-0.03131310368090339,0.03773407696288941,0.831
D1-CORR,varlingam,189,-0.025459101963914377,-0.0894540070300868,0.037932544173668634,0.429
D2s-CORR,varlingam,189,0.004664178899306315,-0.05038256624178468,0.06220272290468221,0.862
D0s-D0,varlingam,252,-0.001152488094582682,-0.019494972130192606,0.015113756601476324,0.873
D1-D0,varlingam,252,-0.011720068904161718,-0.03253271695958472,0.009586633920343953,0.258
D2-D0,varlingam,252,-0.009102785801000879,-0.028066226312207586,0.006796571570129867,0.292
D2s-D0,varlingam,252,-0.011002003115650583,-0.03899785555121074,0.012664074463829347,0.387
D3-D0,varlingam,252,-0.0050922678083538675,-0.05978389131159553,0.046293237038280054,0.826
D4-D0,varlingam,252,0.005068103034240268,-0.0214518159306084,0.030412797785379603,0.658
D0-V0,varlingam,252,0.025955937647680505,0.0077705132962746426,0.0460909290481609,0.003
D0-CORR,varlingam,252,0.016373684308369996,-0.012860393240648534,0.04830497944682859,0.272
D1-CORR,varlingam,252,0.004653615404208278,-0.039981689219109676,0.05034814584873844,0.844
D2s-CORR,varlingam,252,0.005371681192719413,-0.03982238337088405,0.048673574789536586,0.832
best(D4)-V1,varlingam,252,0.003374487826814987,-0.020980900521919085,0.02817095392180761,0.735
D0s-D0,varlingam,378,-0.006667391035782733,-0.02831260975121991,0.013916069975243856,0.497
D1-D0,varlingam,378,0.008623491511462411,-0.008335109549941579,0.02466019870335037,0.306
D2-D0,varlingam,378,-0.0011499639677776674,-0.01690618664539959,0.015307447766044436,0.881
D2s-D0,varlingam,378,0.00012656574278219201,-0.020908044808008407,0.020606254295265934,1.0
D3-D0,varlingam,378,-0.004620815420964708,-0.06119988074942799,0.047669294107740984,0.836
D4-D0,varlingam,378,-0.0021794130700135694,-0.029218567231788027,0.026071083593123944,0.903
D0-CORR,varlingam,378,0.014066625737050253,-0.017292462199610035,0.04800391057203037,0.392
D1-CORR,varlingam,378,0.022690117248512665,-0.018696706704631662,0.06620794615187936,0.275
D2s-CORR,varlingam,378,0.014193191479832445,-0.026813966776774948,0.05600318304654764,0.496
